filename,p/bar,Di,Df,Density,AVA,ASA,NAVA,NASA,UC_volume,Gamma_cage_window,DeltaD_cage_window,Eta_wall,Phi_accessible,hoa/kcal/mol,mmol/g,S(g1)
DB1-Uio66Zr-irmof10_A-irmof14_A_No350,0.15,10.06126,3.60259,0.83871,0.0,0.0,600.831,642.054,4791.32,2.7927851906545014,6.458670000000001,,0.0,8.24624,8.442321,190.100015
DB1-Uio66Zr-BDC_A-irmof7_A_No150,0.015,6.27074,3.5112,1.46781,0.0,0.0,82.9051,210.166,2235.84,1.7859250398724082,2.75954,,0.0,7.750948,0.421053,119.609165
DB1-Uio66Zr-BDC_A-irmof7_A_No150,0.15,6.27074,3.5112,1.46781,0.0,0.0,82.9051,210.166,2235.84,1.7859250398724082,2.75954,,0.0,7.713323,1.933005,136.301585
DB1-Uio66Zr-BDC_A-irmof7_A_No110,0.015,6.5322,2.25166,1.54826,0.0,0.0,57.5059,143.589,2235.84,2.9010596626488896,4.280539999999999,,0.0,8.79184,2.081191,570.136915
DB1-Uio66Zr-BDC_A-irmof7_A_No110,0.15,6.5322,2.25166,1.54826,0.0,0.0,57.5059,143.589,2235.84,2.9010596626488896,4.280539999999999,,0.0,10.404191,3.236371,302.081425
DB1-Uio66Zr-BDC_A-irmof6_A_No82,0.015,7.31796,2.41743,1.86348,0.0,0.0,82.0554,160.854,2235.84,3.027165212643179,4.90053,,0.0,7.556691,0.446472,157.160155
DB1-Uio66Zr-BDC_A-irmof6_A_No82,0.15,7.31796,2.41743,1.86348,0.0,0.0,82.0554,160.854,2235.84,3.027165212643179,4.90053,,0.0,7.816776,1.74207,155.566435
DB1-Uio66Zr-irmof10_A-irmof14_A_No136,0.015,10.06126,6.56005,0.822403,1033.1,898.014,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.8692420869228537,0.2156190778324136,5.756282,0.181377,10.149225
DB1-Uio66Zr-irmof10_A-irmof14_A_No136,0.15,10.06126,6.56005,0.822403,1033.1,898.014,0.0,0.0,4791.32,1.533716968620666,3.5012100000000004,0.8692420869228537,0.2156190778324136,5.946812,1.284213,45.934065
DB1-Uio66Zr-BDC_A-irmof6_A_No416,0.015,7.31796,0.49925,1.99044,0.0,0.0,74.4536,135.526,2235.84,14.657906860290435,6.81871,,0.0,9.599149,1.030095,324.02341
